Query Index,Method ID,Relative Rank
1955,1,3.0
1955,2,15.533333333333333
1955,3,9.266666666666667
1955,4,3.0
1955,5,14.8
1955,6,14.666666666666666
1955,7,7.4
1955,8,15.466666666666667
1955,9,15.4
1955,10,3.0
1955,11,17.2
1955,12,15.533333333333333
1955,13,3.0
1547,1,3.466666666666667
1547,2,13.333333333333334
1547,3,11.866666666666667
1547,4,3.466666666666667
1547,5,15.6
1547,6,13.333333333333334
1547,7,5.133333333333334
1547,8,13.8
1547,9,13.333333333333334
1547,10,3.466666666666667
1547,11,20.2
1547,12,13.333333333333334
1547,13,3.466666666666667
1810,1,11.2
1810,2,15.333333333333334
1810,3,14.933333333333334
1810,4,11.2
1810,5,18.866666666666667
1810,6,19.2
1810,7,5.4
1810,8,16.4
1810,9,10.666666666666666
1810,10,2.6666666666666665
1810,11,6.466666666666667
1810,12,7.0
1810,13,1.7333333333333334
1060,1,3.7333333333333334
1060,2,12.666666666666666
1060,3,10.933333333333334
1060,4,3.7333333333333334
1060,5,16.666666666666668
1060,6,15.533333333333333
1060,7,9.0
1060,8,18.4
1060,9,12.733333333333333
1060,10,2.6
1060,11,17.8
1060,12,12.666666666666666
1060,13,2.6
1578,1,4.733333333333333
1578,2,12.8
1578,3,12.666666666666666
1578,4,4.733333333333333
1578,5,14.533333333333333
1578,6,11.933333333333334
1578,7,5.0
1578,8,13.733333333333333
1578,9,12.933333333333334
1578,10,4.733333333333333
1578,11,16.266666666666666
1578,12,12.933333333333334
1578,13,4.733333333333333
799,1,4.0
799,2,12.533333333333333
799,3,9.6
799,4,4.0
799,5,18.733333333333334
799,6,13.666666666666666
799,7,4.4
799,8,18.8
799,9,13.666666666666666
799,10,4.4
799,11,15.8
799,12,12.533333333333333
799,13,4.0
1884,1,6.266666666666667
1884,2,15.2
1884,3,13.533333333333333
1884,4,6.266666666666667
1884,5,11.133333333333333
1884,6,12.6
1884,7,7.133333333333334
1884,8,13.0
1884,9,12.6
1884,10,4.733333333333333
1884,11,13.4
1884,12,12.6
1884,13,4.733333333333333
1890,1,3.933333333333333
1890,2,13.066666666666666
1890,3,10.6
1890,4,3.933333333333333
1890,5,19.133333333333333
1890,6,18.466666666666665
1890,7,5.133333333333334
1890,8,17.066666666666666
1890,9,12.133333333333333
1890,10,4.133333333333334
1890,11,11.266666666666667
1890,12,13.066666666666666
1890,13,4.133333333333334
1856,1,4.933333333333334
1856,2,13.0
1856,3,15.866666666666667
1856,4,4.933333333333334
1856,5,13.2
1856,6,11.266666666666667
1856,7,4.933333333333334
1856,8,11.266666666666667
1856,9,11.266666666666667
1856,10,4.933333333333334
1856,11,20.933333333333334
1856,12,13.0
1856,13,4.933333333333334
953,1,3.8666666666666667
953,2,15.266666666666667
953,3,9.666666666666666
953,4,3.8666666666666667
953,5,14.466666666666667
953,6,15.266666666666667
953,7,3.8666666666666667
953,8,14.4
953,9,15.266666666666667
953,10,3.8666666666666667
953,11,14.866666666666667
953,12,15.266666666666667
953,13,3.8666666666666667
573,1,5.466666666666667
573,2,9.333333333333334
573,3,9.333333333333334
573,4,5.466666666666667
573,5,18.4
573,6,9.333333333333334
573,7,5.933333333333334
573,8,19.2
573,9,9.333333333333334
573,10,5.933333333333334
573,11,20.333333333333332
573,12,9.333333333333334
573,13,5.933333333333334
1561,1,4.666666666666667
1561,2,15.933333333333334
1561,3,13.466666666666667
1561,4,4.666666666666667
1561,5,13.0
1561,6,10.466666666666667
1561,7,5.6
1561,8,13.533333333333333
1561,9,10.466666666666667
1561,10,5.6
1561,11,17.4
1561,12,15.933333333333334
1561,13,4.666666666666667
656,1,3.0
656,2,11.933333333333334
656,3,6.2
656,4,3.0
656,5,17.466666666666665
656,6,15.933333333333334
656,7,7.933333333333334
656,8,19.2
656,9,15.933333333333334
656,10,7.933333333333334
656,11,16.066666666666666
656,12,12.0
656,13,3.0
1277,1,5.333333333333333
1277,2,16.2
1277,3,8.466666666666667
1277,4,5.333333333333333
1277,5,11.266666666666667
1277,6,13.4
1277,7,3.533333333333333
1277,8,21.0
1277,9,15.6
1277,10,3.533333333333333
1277,11,14.8
1277,12,17.133333333333333
1277,13,3.533333333333333
1771,1,4.133333333333334
1771,2,12.4
1771,3,7.666666666666667
1771,4,4.133333333333334
1771,5,18.666666666666668
1771,6,16.933333333333334
1771,7,6.133333333333334
1771,8,17.533333333333335
1771,9,16.933333333333334
1771,10,6.133333333333334
1771,11,13.133333333333333
1771,12,12.2
1771,13,3.533333333333333
729,1,6.266666666666667
729,2,10.333333333333334
729,3,10.333333333333334
729,4,6.266666666666667
729,5,13.866666666666667
729,6,10.4
729,7,6.266666666666667
729,8,15.0
729,9,10.4
729,10,6.266666666666667
729,11,19.866666666666667
729,12,10.333333333333334
729,13,6.266666666666667
1629,1,3.6666666666666665
1629,2,14.8
1629,3,12.6
1629,4,3.6666666666666665
1629,5,15.666666666666666
1629,6,14.466666666666667
1629,7,3.933333333333333
1629,8,14.333333333333334
1629,9,15.0
1629,10,3.6666666666666665
1629,11,17.066666666666666
1629,12,15.0
1629,13,3.6666666666666665
1283,1,6.6
1283,2,9.4
1283,3,9.4
1283,4,6.6
1283,5,15.8
1283,6,9.733333333333333
1283,7,8.733333333333333
1283,8,16.066666666666666
1283,9,9.733333333333333
1283,10,8.733333333333333
1283,11,15.333333333333334
1283,12,9.4
1283,13,6.733333333333333
192,1,3.8666666666666667
192,2,12.4
192,3,8.533333333333333
192,4,3.8666666666666667
192,5,19.133333333333333
192,6,17.933333333333334
192,7,4.6
192,8,15.6
192,9,17.933333333333334
192,10,4.6
192,11,13.266666666666667
192,12,11.6
192,13,3.8666666666666667
750,1,2.6
750,2,11.133333333333333
750,3,4.8
750,4,2.6
750,5,15.6
750,6,12.0
750,7,12.0
750,8,15.6
750,9,12.0
750,10,12.0
750,11,21.0
750,12,11.2
750,13,2.7333333333333334
1320,1,5.6
1320,2,12.133333333333333
1320,3,11.2
1320,4,5.6
1320,5,16.6
1320,6,12.466666666666667
1320,7,5.6
1320,8,13.333333333333334
1320,9,12.066666666666666
1320,10,5.6
1320,11,13.0
1320,12,12.133333333333333
1320,13,5.6
706,1,4.2
706,2,12.866666666666667
706,3,13.666666666666666
706,4,4.2
706,5,14.6
706,6,14.266666666666667
706,7,4.733333333333333
706,8,16.733333333333334
706,9,12.866666666666667
706,10,4.2
706,11,15.466666666666667
706,12,12.133333333333333
706,13,4.2
1301,1,4.8
1301,2,12.8
1301,3,12.466666666666667
1301,4,4.8
1301,5,14.066666666666666
1301,6,11.866666666666667
1301,7,4.8
1301,8,14.933333333333334
1301,9,14.933333333333334
1301,10,4.8
1301,11,17.8
1301,12,12.8
1301,13,5.4
1170,1,4.866666666666666
1170,2,11.733333333333333
1170,3,10.933333333333334
1170,4,4.866666666666666
1170,5,18.8
1170,6,18.666666666666668
1170,7,16.333333333333332
1170,8,10.266666666666667
1170,9,9.933333333333334
1170,10,1.6666666666666667
1170,11,20.0
1170,12,9.933333333333334
1170,13,1.6666666666666667
1243,1,3.8
1243,2,13.6
1243,3,8.666666666666666
1243,4,3.8
1243,5,14.333333333333334
1243,6,13.6
1243,7,3.8
1243,8,20.066666666666666
1243,9,13.6
1243,10,3.8
1243,11,19.8
1243,12,13.6
1243,13,3.8
749,1,3.6666666666666665
749,2,12.266666666666667
749,3,12.266666666666667
749,4,3.6666666666666665
749,5,18.066666666666666
749,6,12.266666666666667
749,7,3.6666666666666665
749,8,17.6
749,9,12.266666666666667
749,10,3.6666666666666665
749,11,18.2
749,12,12.266666666666667
749,13,3.6666666666666665
821,1,2.533333333333333
821,2,13.333333333333334
821,3,11.8
821,4,2.533333333333333
821,5,11.6
821,6,14.533333333333333
821,7,7.8
821,8,15.466666666666667
821,9,14.533333333333333
821,10,7.8
821,11,18.266666666666666
821,12,12.333333333333334
821,13,2.533333333333333
950,1,3.3333333333333335
950,2,9.333333333333334
950,3,9.333333333333334
950,4,3.3333333333333335
950,5,18.4
950,6,17.4
950,7,10.333333333333334
950,8,19.8
950,9,17.4
950,10,10.333333333333334
950,11,7.866666666666666
950,12,9.333333333333334
950,13,2.466666666666667
1129,1,4.266666666666667
1129,2,12.4
1129,3,12.4
1129,4,4.266666666666667
1129,5,15.666666666666666
1129,6,12.4
1129,7,4.266666666666667
1129,8,19.066666666666666
1129,9,12.4
1129,10,4.266666666666667
1129,11,14.0
1129,12,12.4
1129,13,4.266666666666667
103,1,4.2
103,2,15.266666666666667
103,3,13.133333333333333
103,4,4.2
103,5,11.933333333333334
103,6,13.466666666666667
103,7,4.2
103,8,15.733333333333333
103,9,15.266666666666667
103,10,4.2
103,11,13.333333333333334
103,12,16.466666666666665
103,13,4.2
673,1,4.6
673,2,12.8
673,3,11.266666666666667
673,4,4.6
673,5,15.6
673,6,13.466666666666667
673,7,5.533333333333333
673,8,16.0
673,9,13.466666666666667
673,10,5.533333333333333
673,11,15.2
673,12,12.533333333333333
673,13,4.6
774,1,4.133333333333334
774,2,7.466666666666667
774,3,7.4
774,4,4.133333333333334
774,5,18.133333333333333
774,6,13.8
774,7,10.933333333333334
774,8,17.533333333333335
774,9,13.8
774,10,10.933333333333334
774,11,14.0
774,12,7.466666666666667
774,13,4.133333333333334
1300,1,3.3333333333333335
1300,2,11.8
1300,3,11.733333333333333
1300,4,3.3333333333333335
1300,5,16.8
1300,6,16.866666666666667
1300,7,9.6
1300,8,15.333333333333334
1300,9,11.8
1300,10,3.3333333333333335
1300,11,17.8
1300,12,11.8
1300,13,3.3333333333333335
36,1,3.8666666666666667
36,2,13.2
36,3,12.333333333333334
36,4,3.8666666666666667
36,5,17.733333333333334
36,6,13.2
36,7,4.0
36,8,15.4
36,9,13.2
36,10,4.0
36,11,17.266666666666666
36,12,13.2
36,13,4.0
